timestamp,update,max_updates,progress_pct,elapsed_hours,tokens_per_sec,loss_mean_last300,gpu_temp_c,gpu_util_pct,vram_used_mib,power_w,checkpoint,notes
2026-09-18T20:15,129700,732422,17.71,75.80,1946.6,3.17,86,99,7633,164.08,checkpoint-00129500,session start; first live-status check
2026-09-19T17:03,162800,732422,22.23,96.60,1917.0,3.06,,,,,checkpoint-00162500,GPU/power not captured this check (reconstructed from session record)
2026-09-20T12:24,194700,732422,26.58,115.90,1910.2,3.05,,,,,checkpoint-00194500,GPU/power not captured this check (reconstructed from session record)
2026-09-21T02:55,218300,732422,29.80,130.40,1903.2,2.95,,,,,checkpoint-00218000,GPU/power not captured this check (reconstructed from session record)
2026-09-21T16:24,240700,732422,32.86,144.00,1901.5,3.08,,,,119.6,checkpoint-00240500,first observed power-draw dip (usual ~148W)
2026-09-22T09:55,269300,732422,36.77,161.50,1896.7,2.99,87,97,7610,148.8,checkpoint-00269000,power draw back to normal; earlier dip treated as one-off at this point
2026-09-22T23:16,291100,732422,39.74,174.80,1893.6,2.97,85,98,7539,119.8,checkpoint-00291000,second power-draw dip observed (now a real pattern, not one-off)
2026-09-22T23:40,291700,732422,39.83,175.24,1893.6,,86,92,7688,148.5,checkpoint-00291500,power draw normal again; loss_mean not recomputed this check (small ~24min gap)
2026-09-23T09:08,306500,732422,41.85,184.65,1887.7,2.98,87,95,7687,147.73,checkpoint-00306500,steady progress; power/thermals normal; tok/s drift still <1% cumulative
2026-09-24T10:16,346900,732422,47.37,209.81,1880.3,3.14,87,97,7561,135.90,checkpoint-00346500,tok/s drift ~1.1% cumulative; power slightly below recent-normal range but above the earlier real dips
2026-09-25T01:36,371400,732422,50.70,225.12,1876.1,3.04,87,96,7559,148.71,checkpoint-00371000,crossed halfway point; power back to normal range, last check's dip resolved as one-off
